Project Number,year,papersNum
5R01HL088419-07,7,0
5R01HL069234-11,11,0
5R01AG040185-05,5,0
5R01GM111121-02,2,1
5R01DK100722-02,2,0
5R01AR061552-04,4,0
5R01HL056259-16,16,0
5R01DK103564-02,2,0
5R01MH106174-02,2,0
3R01AG022018-10S1,10,11
1R01AG050721-01,1,0
5R01AG048076-02,2,0
3R01MH095869-03S1,3,1
5R01DA039457-03,3,0
5R01HL118376-03,3,0
5R01HL082689-07,7,0
5R01HD074757-04,4,0
5R01AG039396-04,4,2
5R01DK100584-02,2,1
5R01DK089101-05,5,2
3R01GM088454-05S1,5,3
2R01HD053793-09A1,9,8
5R01MH101209-02,2,3
3R01GM098621-03S1,3,8
3R01DK079895-08S1,8,0
5R01CA163394-03,3,0
1R01AI119949-01,1,0
1R01GM108731-01A1,1,0
5R01AI097119-04,4,0
3R01CA163649-04S2,4,1
5R01DK060694-14,14,4
5R01HL111430-04,4,3
5R01AG046860-02,2,4
5R01DK090260-05,5,1
5R01HL070985-12,12,0
5R01AI111435-02,2,5
5R01ES022165-03,3,6
5R01AI110346-02,2,1
5R01AR065439-03,3,1
5R01CA160474-04,4,0
5R01MD007702-02,2,0
5R01MH100182-03,3,0
1R01AI116496-01,1,0
5R01DK081866-05,5,2
3R01GM097350-04S2,4,2
5R01CA180037-03,3,0
5R01CA170158-04,4,0
5R01HD075928-04,4,0
5R01EY013010-17,17,0
1R01DK108438-01,1,0
1R01GM114166-01,1,0
5R01AG039732-05,5,0
2R01AI081571-05A1,5,4
5R01DC004295-13,13,2
5R01DC002148-20,20,0
5R01ES015146-06,6,26
5R01HL113574-03,3,0
5R01DK093047-05,5,0
1R01AG049494-01A1,1,0
5R01HL105932-05,5,2
5R01CA172463-02,2,0
5R01HL093231-06,6,0
5R01GM083241-07,7,1
3R01HL121456-02S1,2,0
5R01CA075059-17,17,0
2R01DC002756-19A1,19,9
5R01DK095960-04,4,4
5R01NS065069-07,7,1
5R01DK060733-13,13,3
1R01AG047131-01A1,1,0
5R01NS039456-16,16,1
5R01CA152093-05,5,2
5R01EY024071-02,2,0
5R01DA029100-05,5,6
3R01CA168670-02S1,2,0
5R01DK099532-02,2,1
5R01GM101035-04,4,0
5R01NS086956-02,2,0
5R01MH104355-02,2,1
5R01DK095169-03,3,1
5R01AI089930-05,5,0
5R01CA168658-03,3,1
5R01CA174206-03,3,0
5R01NS030549-22,22,0
3R01CA186720-02S2,2,0
7R01CA190696-02,2,0
5R01HL070250-13,13,1
5R01AG041153-04,4,0
5R01AR053102-10,10,2
5R01AG023695-08,8,0
1R01DA041008-01,1,0
5R01GM104213-03,3,0
5R01CA175495-02,2,6
5R01DA036895-03,3,0
5R01AT007258-03,3,0
5R01CA170336-04,4,0
5R01GM097347-04,4,2
5R01DK098222-03,3,0
3R01GM102390-05S1,5,0
1R01GM115472-01,1,0
5R01EB000768-13,13,1
5R01CA161018-03,3,0
5R01DK058177-16,16,0
5R01MH100688-02,2,2
5R01GM098634-05,5,0
5R01NS044385-14,14,6
3R01DA033679-04S2,4,0
2R01HL045565-22A1,22,9
5R01MH073676-10,10,2
3R01HG006460-03S1,3,1
5R01AA020033-05,5,2
1R01HD081281-01A1,1,1
2R01GM085207-05,5,13
5R01AI066121-08,8,1
7R01CA173499-02,2,3
5R01EB018921-02,2,0
5R01HD045561-11,11,0
5R01GM101218-04,4,0
1R01HD083267-01,1,0
5R01MH098675-04,4,0
5R01DC010816-05,5,0
1R01NS089707-01A1,1,0
5R01GM110430-02,2,0
5R01MH093332-06,6,2
5R01CA158314-05,5,0
5R01DK083575-05,5,0
5R01DK097340-03,3,0
1R01MH109337-01,1,0
5R01HL119984-02,2,0
5R01HL062881-23,23,5
1R01HL122494-01A1,1,0
5R01NS072179-04,4,0
5R01CA128799-07,7,1
5R01GM108337-03,3,0
1R01CA195586-01A1,1,0
5R01CA172384-03,3,4
1R01AI110783-01A1,1,0
5R01CA122151-09,9,6
3R01HL085613-07S1,7,0
5R01DK098830-03,3,0
5R01GM088040-07,7,3
5R01NS080619-04,4,5
1R01DK100358-01A1,1,2
5R01EB016703-03,3,0
1R01HL121700-01A1,1,2
5R01AI097554-04,4,0
5R01AG041525-05,5,3
5R01HL123747-02,2,1
5R01AR063962-03,3,1
5R01EY022157-04,4,3
5R01GM112508-02,2,0
5R01HL110811-04,4,5
5R01EB017743-03,3,1
5R01GM105707-03,3,1
5R01AI066219-09,9,4
5R01DK093515-04,4,1
5R01CA172045-02,2,3
5R01HD069634-04,4,1
5R01EB014283-04,4,0
5R01HL085635-08,8,0
5R01DK102487-02,2,0
5R01GM099920-04,4,0
1R01HD082814-01A1,1,0
5R01NS086890-02,2,1
5R01AA018071-07,7,0
5R01AI060899-12,12,1
3R01ES016932-05S2,5,5
7R01HD072898-04,4,0
2R01DK076608-08A1,8,18
7R01HL128014-02,2,0
5R01CA120954-09,9,17
5R01CA158301-05,5,1
5R01CA174768-02,2,0
5R01AG041974-04,4,2
5R01DK092113-05,5,1
5R01EB009055-07,7,1
5R01AT007922-04,4,0
5R01CA163587-04,4,0
3R01GM109434-01A1S1,1,0
5R01MH098098-04,4,0
5R01MH062044-12,12,1
3R01DA036612-02S1,2,0
7R01HL114806-05,5,0
5R01CA073764-19,19,15
5R01AI098628-04,4,0
5R01GM100201-04,4,0
5R01CA160432-04,4,3
5R01EB014929-04,4,0
1R01EY024562-01A1,1,0
3R01GM067260-13S1,13,0
5R01CA078747-15,15,0
5R01CA135274-08,8,0
2R01CA116161-06A1,6,2
5R01GM069909-12,12,2
5R01GM050895-18,18,3
1R01HL128172-01,1,0
5R01AI111557-02,2,0
5R01DK095069-04,4,4
5R01MH102339-02,2,1
3R01GM085490-06S1,6,0
5R01EY019084-06,6,0
5R01DK097268-04,4,1
5R01AI098302-02,2,0
5R01HL119371-03,3,0
5R01MH102392-02,2,0
5R01AG016636-17,17,0
2R01GM027068-36A1,36,0
5R01GM080533-10,10,5
5R01CA173593-03,3,9
5R01NS077942-05,5,2
5R01GM084947-08,8,10
5R01AG038560-05,5,0
1R01HD083026-01,1,0
1R01CA194552-01,1,0
1R01GM113092-01,1,0
5R01CA180710-03,3,2
5R01DA031289-05,5,1
1R01EY024665-01A1,1,3
5R01DA030929-05,5,0
5R01HD074565-03,3,0
5R01CA152826-05,5,0
1R01GM115898-01,1,0
2R01GM078240-06A1,6,1
5R01DK098526-03,3,0
5R01CA160902-04,4,3
5R01LM011986-02,2,3
5R01GM102756-04,4,1
5R01HL117138-03,3,0
1R01AI120024-01,1,2
5R01NS080565-03,3,0
1R01GM113874-01,1,0
5R01EY021798-05,5,8
5R01HD081929-02,2,1
5R01CA186286-02,2,2
5R01AG046319-02,2,3
5R01NS035439-17,17,0
5R01GM051290-21,21,0
5R01NS055272-08,8,1
5R01MD004011-07,7,2
5R01HL077192-07,7,0
1R01EY024918-01A1,1,1
5R01AI112566-02,2,1
5R01NS077913-04,4,2
5R01DK083491-07,7,0
5R01NS084823-03,3,0
2R01AI059167-11,11,1
5R01DK087864-05,5,1
5R01AI091845-06,6,7
5R01DA025646-06,6,0
5R01AI107157-02,2,0
5R01ES020357-04,4,3
5R01EY021372-05,5,0
5R01EB006476-07,7,2
5R01DA032733-04,4,0
1R01HL129639-01,1,0
5R01DK091566-05,5,1
5R01HL114283-03,3,4
1R01AI110420-01A1,1,0
5R01NS046072-12,12,1
1R01DK104748-01,1,0
3R01CA125187-08S2,8,0
5R01DA036628-02,2,1
5R01ES022250-03,3,0
5R01DK049126-17,17,1
5R01EB007829-11,11,4
5R01CA157687-04,4,0
3R01GM110243-02S1,2,3
5R01GM069668-12,12,2
5R01GM102803-04,4,0
5R01MH101584-02,2,0
5R01CA138505-05,5,1
5R01NS053603-10,10,1
5R01CA171101-27,27,0
3R01GM076561-09S1,9,0
3R01CA089151-14S1,14,0
5R01HL107522-05,5,4
5R01CA158073-05,5,1
5R01HL123016-02,2,1
1R01AI118855-01,1,0
5R01GM102497-02,2,2
5R01GM110397-02,2,1
5R01DE022348-04,4,1
1R01CA197059-01,1,0
5R01NS077755-04,4,0
5R01HL116690-03,3,0
1R01HL129510-01,1,0
1R01NS091236-01,1,2
5R01CA152327-05,5,2
5R01AI100890-04,4,2
5R01NS082296-03,3,0
5R01MH097699-03,3,0
3R01GM054787-21S1,21,3
5R01HL060710-13,13,3
5R01GM107117-02,2,0
1R01CA195051-01,1,0
1R01GM115331-01,1,0
5R01HD072702-04,4,0
2R01GM095722-05,5,3
5R01CA163293-04,4,0
1R01MH107371-01,1,0
5R01MH100286-03,3,1
1R01DK104176-01A1,1,0
1R01CA197761-01,1,0
5R01MH095628-05,5,3
5R01NS085929-02,2,0
5R01CA151496-05,5,1
3R01MH092380-04S1,4,0
5R01MH095621-05,5,4
5R01HL109517-04,4,1
5R01AI109644-02,2,0
5R01DE022955-03,3,0
5R01HL085646-07,7,0
5R01DC004274-16,16,0
5R01HL109597-05,5,1
5R01HL056177-19,19,1
5R01AR064771-02,2,2
5R01AI093948-04,4,0
5R01NS059934-07,7,1
1R01NS089076-01A1,1,1
5R01GM095982-05,5,8
1R01MH103371-01A1,1,2
5R01HL107899-04,4,0
1R01DK101730-01A1,1,0
1R01HL128411-01,1,0
1R01MH106574-01,1,0
5R01NS076637-04,4,0
5R01CA180279-02,2,0
1R01GM113995-01,1,0
5R01AG036469-05,5,5
5R01MH100311-02,2,0
5R01DA030988-05,5,0
5R01HD043997-10,10,1
5R01NS026001-25,25,0
5R01AI092453-05,5,1
2R01AG033570-06A1,6,1
5R01CA177984-02,2,3
5R01DK080920-06,6,0
5R01GM112490-02,2,0
5R01MH105134-02,2,0
5R01HL123227-03,3,2
5R01DK101050-02,2,1
5R01CA172723-03,3,0
5R01HL121264-02,2,5
7R01TW009280-04,4,0
1R01NS093920-01,1,0
5R01DA032217-05,5,2
5R01CA167632-04,4,0
5R01GM080279-08,8,2
5R01GM023377-40,40,0
2R01NS046333-10A1,10,1
5R01MH104123-02,2,0
2R01CA137178-06,6,13
5R01HL117805-02,2,0
5R01NS050220-10,10,0
5R01GM031627-31,31,0
5R01HL105694-05,5,0
5R01ES021357-04,4,17
5R01GM106158-02,2,0
5R01EY022359-04,4,2
5R01HD071065-04,4,0
5R01CA182905-02,2,2
1R01CA193220-01A1,1,1
6R01AG039561-05,5,0
5R01EY001157-42,42,0
1R01HL123404-01A1,1,0
5R01NS076756-04,4,0
1R01CA193837-01,1,0
1R01HD082208-01A1,1,0
1R01CA188646-01A1,1,0
1R01DA038139-01A1,1,0
5R01AI047231-14,14,0
5R01HD073172-04,4,0
5R01ES024917-02,2,1
5R01DK018243-41,41,0
5R01HD068730-05,5,3
5R01DC013693-03,3,1
1R01HL123160-01A1,1,0
5R01DK045416-22,22,2
5R01CA161158-05,5,0
5R01CA123368-10,10,1
2R01DK094486-04,4,0
5R01AI069943-08,8,3
5R01EY023915-02,2,0
5R01AI108725-02,2,1
5R01HL117729-03,3,1
5R01MH077813-09,9,1
5R01MH062723-15,15,2
3R01HD078526-02S1,2,1
1R01MD009699-01,1,0
5R01AI101713-03,3,5
2R01NS030678-21A1,21,3
5R01GM099738-04,4,0
5R01AA019673-05,5,1
5R01HD049878-08,8,0
5R01GM099092-04,4,0
2R01DK085623-06,6,2
5R01HL120746-03,3,0
5R01CA183074-02,2,2
5R01DK091658-04,4,1
3R01GM105724-03S1,3,1
5R01CA095277-13,13,4
5R01HD036071-17,17,3
5R01HD071986-03,3,1
5R01GM097443-04,4,0
5R01DC003896-18,18,3
1R01AG050436-01A1,1,0
3R01DK099311-02S1,2,0
2R01AR056212-06,6,0
7R01AI076457-07,7,1
5R01GM078598-08,8,5
1R01GM109988-01A1,1,0
1R01GM115632-01,1,1
5R01AI093634-05,5,2
5R01MH101218-03,3,7
2R01DK029867-31,31,0
5R01DC013168-02,2,0
5R01NS009923-43,43,1
5R01AG048218-02,2,2
5R01NS089734-02,2,0
3R01DK098511-03S1,3,1
2R01GM104987-09,9,12
5R01CA166280-03,3,1
1R01DK105448-01,1,0
5R01MH102416-02,2,1
5R01DK092374-05,5,0
2R01AI076457-06A1,6,1
5R01CA166144-04,4,0
5R01GM063540-13,13,10
5R01CA165836-04,4,1
3R01AG042504-03S2,3,10
5R01DE017954-09,9,15
5R01CA155320-05,5,1
5R01HD065829-05,5,1
3R01GM099775-03S1,3,1
5R01HL119099-02,2,2
5R01DC004391-15,15,0
5R01CA116753-09,9,1
5R01GM021342-39,39,5
5R01CA149461-05,5,1
5R01GM090065-05,5,0
2R01CA140456-06,6,7
5R01MH104302-02,2,0
1R01CA192395-01A1,1,1
7R01EY023427-03,3,0
5R01DK097092-04,4,0
5R01EY002966-36,36,0
5R01AI080779-06,6,2
3R01CA183605-03S1,3,1
5R01NS087227-02,2,1
5R01AI100067-04,4,0
5R01CA132685-08,8,6
5R01MH102151-02,2,0
5R01DK029857-31,31,0
5R01ES022057-04,4,2
1R01NS090962-01,1,0
5R01AI099099-03,3,0
5R01AR056624-07,7,11
5R01HD078415-02,2,0
1R01HD084679-01,1,0
5R01GM031105-34,34,0
2R01GM088351-05A1,5,0
5R01DA031816-05,5,0
5R01GM050399-19,19,0
5R01HL108621-05,5,0
5R01ES021707-04,4,6
2R01GM065056-14,14,1
5R01MH097726-03,3,2
1R01CA193651-01,1,0
1R01DK105393-01,1,2
3R01HL073387-11S1,11,0
5R01DK080157-07,7,0
3R01CA159871-04S1,4,0
5R01GM076692-11,11,7
1R01AR066590-01A1,1,0
5R01HL119683-03,3,1
5R01GM066953-12,12,1
1R01GM114675-01,1,1
1R01EY025349-01A1,1,0
5R01AI097273-04,4,0
5R01AG019206-14,14,0
1R01HL122661-01A1,1,0
5R01AA023122-03,3,0
5R01GM038545-26,26,0
5R01CA150226-05,5,3
5R01AI079187-08,8,0
5R01NS076577-05,5,2
5R01CA142859-05,5,1
5R01CA166948-05,5,0
5R01MH096957-03,3,0
5R01GM047022-22,22,0
2R01GM078383-10,10,0
2R01EY016813-09A1,9,1
5R01HL108390-04,4,3
5R01CA161534-05,5,0
1R01HD083418-01,1,0
5R01DE023113-03,3,2
5R01CA118560-09,9,6
3R01NS041202-13S1,13,0
5R01DK100915-02,2,0
5R01MD005851-04,4,0
5R01AG026307-09,9,1
5R01CA027607-35,35,2
5R01DK102598-02,2,0
5R01NS085880-03,3,1
5R01DK092485-05,5,14
5R01AA019462-05,5,1
5R01DE022597-03,3,0
1R01AI114653-01A1,1,1
5R01GM111320-02,2,0
5R01NS073930-05,5,0
5R01GM075114-10,10,3
5R01ES020715-05,5,5
5R01HL071837-10,10,3
5R01AG048835-02,2,1
1R01HL122764-01A1,1,0
5R01AG041374-04,4,3
7R01NS089729-02,2,1
5R01AR066105-02,2,0
5R01MH105246-02,2,0
5R01AI057851-10,10,6
7R01HD069045-05,5,1
1R01DK102696-01A1,1,0
5R01HL079356-08,8,5
7R01NS035915-19,19,0
3R01AR061164-05S1,5,0
2R01AI049360-11A1,11,1
5R01DK100619-02,2,0
5R01AR054115-08,8,6
1R01AA023504-01,1,0
5R01DC004825-14,14,5
5R01AI113041-02,2,0
2R01GM087828-06A1,6,7
1R01HD084399-01,1,2
5R01GM033279-32,32,0
5R01GM102801-02,2,2
5R01NS076942-03,3,0
5R01NS083833-02,2,1
5R01GM064589-14,14,8
5R01AI103343-03,3,0
5R01ES021806-04,4,0
1R01CA190980-01A1,1,0
5R01AI113075-02,2,0
5R01HL121500-02,2,0
2R01DA023089-06A1,6,3
1R01AR068934-01,1,0
5R01AG017479-13,13,2
5R01AR041836-23,23,2
5R01HL115140-04,4,4
5R01GM088055-16,16,1
1R01CA188372-01A1,1,0
7R01HD075929-02,2,0
7R01HL113188-03,3,0
5R01GM055360-17,17,0
5R01DK073608-09,9,0
5R01CA173986-02,2,0
7R01DK098331-02,2,0
5R01AI044821-14,14,1
2R01GM060992-14,14,1
5R01DK083042-20,20,0
1R01AG044378-01A1,1,0
5R01HL113056-03,3,0
1R01EY024951-01A1,1,0
5R01NS082309-02,2,0
1R01HL122358-01A1,1,0
5R01CA137116-05,5,0
1R01HL126694-01,1,0
1R01ES025779-01,1,3
5R01HL108307-05,5,0
5R01DK080840-05,5,0
5R01GM108734-02,2,0
1R01AI117835-01,1,0
7R01DK100385-02,2,0
1R01MH107248-01,1,0
5R01DK077097-09,9,3
5R01NS075018-04,4,0
2R01GM038464-27A1,27,0
5R01HL112647-04,4,0
1R01GM111324-01A1,1,0
3R01GM105931-02S1,2,5
5R01DK101991-02,2,0
5R01GM101108-04,4,1
5R01DA036827-02,2,0
6R01AG045044-03,3,2
5R01GM102387-02,2,2
2R01GM061591-14,14,0
1R01EY024481-01A1,1,0
5R01MH074006-10,10,0
1R01DK103546-01A1,1,0
3R01GM068803-10S1,10,1
1R01AI108884-01A1,1,0
5R01GM099803-04,4,0
5R01GM106078-02,2,0
5R01NS090904-17,17,3
5R01EY023620-02,2,0
1R01HL122311-01A1,1,1
1R01DK102146-01A1,1,0
1R01HL128452-01,1,0
5R01MH094091-05,5,2
5R01NS078223-04,4,2
2R01CA132897-06A1,6,0
2R01GM076388-10,10,0
5R01CA177670-02,2,0
5R01EY023179-03,3,0
5R01DA034957-03,3,0
5R01CA156661-06,6,1
5R01DA036582-02,2,1
5R01NS078745-04,4,2
5R01AI088075-05,5,0
5R01MH093338-05,5,0
5R01MH101138-02,2,3
5R01HL093140-07,7,48
5R01DC012060-04,4,4
5R01GM101132-04,4,0
5R01MH097748-03,3,0
5R01AA020401-05,5,4
5R01DC005676-17,17,0
5R01DK099257-02,2,0
5R01AR065527-02,2,0
5R01HD074944-02,2,1
5R01NS082635-03,3,0
5R01EY023639-02,2,0
5R01NR014182-04,4,0
5R01EY012355-10,10,1
5R01HD073147-04,4,6
1R01EY024982-01,1,0
5R01HL118979-02,2,0
5R01AA020509-05,5,2
5R01NS083687-02,2,0
5R01EY020950-06,6,1
1R01EY025002-01A1,1,0
5R01AA021973-03,3,0
5R01HL049277-24,24,0
5R01AR043727-16,16,4
5R01DE021104-06,6,1
5R01DK103576-02,2,0
5R01AI042999-18,18,0
5R01EY016400-10,10,11
5R01GM037739-28,28,0
5R01AI079411-06,6,4
5R01NR014248-02,2,0
5R01DC010915-05,5,0
7R01CA163657-04,4,3
1R01AI110810-01A1,1,1
5R01HL110350-04,4,13
1R01EB014946-01A1,1,0
5R01GM065519-14,14,0
5R01EY004864-32,32,14
5R01HL116849-03,3,0
5R01AI095488-04,4,0
1R01GM104853-01A1,1,0
5R01HL093671-06,6,2
5R01AT008448-02,2,0
5R01MH091057-05,5,1
1R01DK103022-01A1,1,0
5R01NS075393-05,5,0
5R01NS050674-10,10,1
2R01CA131261-06A1,6,4
2R01HL098228-06,6,3
5R01GM079533-09,9,1
5R01NS083784-02,2,0
1R01AA024391-01,1,0
5R01NR014362-03,3,0
2R01DK081426-06A1,6,1
1R01AI113257-01A1,1,1
5R01GM111457-02,2,2
1R01CA197977-01,1,0
5R01EY014885-12,12,0
5R01GM099525-04,4,0
5R01AT006344-05,5,1
5R01AI096962-04,4,1
5R01HL069594-12,12,1
3R01GM076685-09S1,9,1
1R01CA177736-01A1,1,0
5R01MD007783-02,2,0
1R01HG008164-01A1,1,1
1R01HD084409-01,1,0
5R01HL107938-05,5,19
3R01HL115138-04S1,4,0
5R01NS074536-05,5,0
3R01HL118282-02S1,2,0
5R01DE022816-02,2,2
5R01ES024331-02,2,0
5R01NS076462-05,5,0
5R01CA168761-03,3,4
5R01HL071544-13,13,1
5R01DA034699-02,2,0
5R01NS089534-02,2,0
7R01DK088231-06,6,2
5R01AG029623-10,10,8
5R01HD020991-28,28,1
5R01CA159859-05,5,17
5R01AG032284-04,4,10
5R01EB018107-03,3,0
5R01HL060714-15,15,1
5R01AA014445-11,11,2
1R01HL124325-01A1,1,0
5R01AI099532-04,4,0
5R01DA030517-05,5,1
5R01AI095753-02,2,0
5R01HL109582-04,4,1
5R01NS070872-05,5,0
2R01GM038660-29,29,0
5R01HL039006-26,26,18
2R01AG005552-25A1,25,0
5R01DK094014-04,4,0
1R01MH105527-01,1,0
3R01ES024871-02S1,2,0
5R01GM043778-25,25,3
5R01HG007415-03,3,2
5R01AG046906-02,2,0
5R01HL071158-13,13,1
5R01NS080598-03,3,0
5R01DK099504-02,2,0
5R01CA121249-06,6,2
2R01GM095941-05,5,7
5R01NS078279-05,5,0
5R01CA133379-07,7,34
5R01HL112747-04,4,0
5R01MH095980-04,4,0
5R01HL113499-03,3,0
7R01HL079584-13,13,1
5R01NS089482-02,2,2
5R01GM072611-10,10,0
1R01AI114671-01A1,1,0
5R01HD080096-02,2,0
5R01GM058160-18,18,0
5R01DC003299-18,18,0
5R01GM099775-03,3,1
5R01AR050026-11,11,0
5R01MD007662-03,3,6
5R01EY010843-22,22,0
5R01AI042783-15,15,0
5R01HL121718-02,2,0
5R01MH100417-03,3,3
1R01DA040386-01,1,0
1R01GM115968-01,1,0
5R01AA012404-15,15,0
5R01CA070375-19,19,2
5R01AT007079-04,4,30
5R01HL052141-18,18,0
5R01DA035616-03,3,4
3R01HL113136-02S1,2,2
3R01AA017592-04S1,4,0
5R01GM105033-03,3,0
5R01DK098576-02,2,1
5R01AR059185-05,5,1
2R01HL077612-09,9,5
5R01AR066755-02,2,3
5R01GM039040-28,28,0
5R01AA022656-02,2,0
5R01CA180896-02,2,1
5R01GM083303-08,8,0
5R01EY022961-03,3,0
5R01HL062565-17,17,0
5R01NS038880-15,15,0
2R01GM027757-36A1,36,0
5R01HG007112-04,4,0
2R01HD053112-07A1,7,6
5R01NS046308-10,10,1
2R01CA078383-16A1,16,0
5R01HL095799-05,5,21
5R01NS044351-11,11,1
2R01AR057352-06,6,2
5R01CA167250-04,4,2
3R01DA035825-03S1,3,0
2R01DK092661-03A1,3,4
1R01AI114292-01A1,1,0
5R01AI104669-04,4,1
2R01AG028593-06,6,0
3R01AG014345-15S1,15,0
5R01AG020866-13,13,3
5R01AI110221-02,2,0
5R01AR061385-06,6,0
1R01DA040394-01,1,0
5R01GM102227-04,4,1
5R01AI076183-13,13,0
5R01DC011741-05,5,1
5R01HL111178-04,4,2
5R01AI108680-02,2,0
5R01GM095942-05,5,0
5R01CA112093-10,10,0
5R01MH093486-04,4,1
5R01DE022778-04,4,3
7R01NS086890-03,3,1
3R01AT004623-07S1,7,1
2R01AI081803-06A1,6,5
5R01NS087169-03,3,0
5R01MH100455-03,3,0
5R01AG043471-03,3,1
1R01DC014281-01A1,1,0
5R01EY022652-04,4,0
2R01EY019684-05,5,0
5R01EY023286-04,4,0
5R01DK058191-13,13,1
1R01AI108695-01A1,1,0
1R01CA189209-01A1,1,0
5R01DA038663-02,2,0
5R01ES024288-02,2,0
1R01CA196854-01,1,0
1R01AI109139-01A1,1,0
2R01CA146940-06,6,2
5R01EB015911-03,3,0
5R01GM059026-17,17,0
5R01NS051048-09,9,0
1R01GM115501-01,1,0
5R01CA179991-03,3,2
2R01NS030843-23,23,4
5R01CA120206-09,9,3
5R01DK097555-03,3,0
5R01AA011591-13,13,1
3R01AA020992-03S1,3,3
1R01NS091335-01,1,0
1R01HL122676-01A1,1,0
5R01NS080946-03,3,2
2R01CA134675-06A1,6,1
5R01MH062122-14,14,1
5R01EY011721-17,17,0
5R01GM082971-07,7,4
5R01HL115128-03,3,3
5R01DC012592-04,4,0
1R01AI121135-01,1,0
5R01AI079056-07,7,12
5R01DA036984-03,3,0
5R01DC012289-04,4,2
5R01EY024327-02,2,0
5R01AR045955-17,17,1
5R01DK057846-12,12,2
5R01CA154596-05,5,5
5R01DK065073-13,13,3
5R01CA185486-02,2,2
5R01EB005772-07,7,2
5R01NS077111-04,4,2
1R01CA193782-01,1,0
5R01CA028824-37,37,0
5R01GM094386-06,6,1
5R01GM095566-05,5,0
5R01AI095098-05,5,1
5R01GM104003-03,3,2
1R01DE025565-01,1,0
5R01CA172244-03,3,1
5R01AI051486-12,12,1
5R01CA167291-03,3,0
1R01DE025207-01,1,0
5R01DK080427-08,8,4
5R01NS080893-03,3,0
5R01AG025016-10,10,0
5R01NS084965-02,2,2
2R01AI018289-34,34,0
5R01DK040949-23,23,1
5R01DK076077-09,9,5
5R01NS081082-03,3,0
5R01HL116581-03,3,2
5R01CA138797-06,6,5
5R01GM098343-03,3,0
5R01ES023485-02,2,1
5R01GM099530-04,4,3
1R01NS092707-01A1,1,0
5R01MH094360-04,4,0
5R01GM098320-04,4,1
5R01AI111860-02,2,0
5R01CA047006-28,28,12
5R01DK091240-05,5,3
3R01GM104135-01A1S1,1,0
5R01HD073572-03,3,0
1R01DC014767-01,1,0
5R01GM105755-02,2,0
5R01AI103146-03,3,1
5R01EY022663-04,4,0
1R01DE025225-01,1,0
1R01AG049402-01,1,0
5R01HD030428-23,23,0
5R01CA161694-04,4,0
5R01CA176841-03,3,0
6R01NS050808-09,9,0
5R01HL114388-04,4,0
1R01CA196657-01,1,0
1R01CA188118-01A1,1,1
5R01CA160762-04,4,2
3R01MH092226-05S1,5,3
1R01MH105450-01A1,1,0
3R01GM065494-11S1,11,0
1R01AI110507-01A1,1,1
5R01DK092241-04,4,2
5R01GM095621-05,5,0
2R01CA140316-05A1,5,4
5R01EY011640-15,15,0
5R01GM081748-20,20,0
1R01EB018956-01A1,1,0
5R01AT007448-04,4,0
5R01GM095559-05,5,0
3R01DA030929-05S1,5,0
5R01HL117329-04,4,12
5R01DA033172-04,4,0
5R01DK095168-04,4,23
5R01DA032530-04,4,0
3R01AG045375-02S1,2,3
3R01CA179949-02S1,2,1
5R01ES020926-04,4,2
5R01DC005964-12,12,3
5R01CA138819-05,5,0
5R01CA167079-04,4,0
1R01NS092578-01,1,0
5R01AI093640-04,4,3
5R01HL115036-04,4,0
1R01AG047928-01A1,1,0
1R01MH105513-01,1,0
3R01HD072617-04S1,4,1
5R01MH099110-03,3,0
5R01EY025103-02,2,0
5R01EB000212-27,27,0
1R01HL127039-01,1,0
5R01GM102679-04,4,2
3R01GM085146-07S1,7,0
5R01AT006970-04,4,1
6R01CA178394-02,2,2
5R01DA035224-03,3,0
5R01DK098437-02,2,1
3R01DA016644-10S1,10,0
5R01GM033049-40,40,1
1R01NS094164-01,1,0
5R01GM104010-03,3,0
3R01CA106858-11S1,11,0
5R01EY024173-02,2,0
5R01HL108926-05,5,2
5R01GM102491-05,5,4
5R01AI095647-05,5,0
3R01ES019841-05S1,5,6
5R01AI101378-03,3,0
1R01HL125501-01,1,2
1R01DK102791-01A1,1,0
5R01HD077592-02,2,0
5R01GM111852-02,2,0
5R01DA021307-08,8,0
5R01AI098933-04,4,1
5R01AI052453-13,13,5
5R01CA138844-05,5,0
5R01HL118579-03,3,0
5R01ES024284-02,2,0
5R01CA178315-02,2,1
1R01DE025208-01,1,0
5R01HD080205-02,2,1
5R01HL056865-15,15,1
1R01HL125169-01A1,1,0
5R01HL117037-03,3,2
5R01MD009223-02,2,0
5R01AA020829-04,4,2
5R01AI091702-05,5,2
1R01GM112077-01A1,1,1
5R01ES023260-03,3,0
5R01AG043452-02,2,0
5R01CA091791-13,13,0
5R01CA165609-04,4,2
1R01DK103860-01,1,1
5R01AG012975-18,18,4
1R01HL127764-01,1,0
5R01HD064723-05,5,8
5R01HL125030-02,2,0
5R01HL115247-04,4,3
3R01AA020720-04S1,4,0
5R01GM103593-03,3,0
5R01NR013151-04,4,1
5R01HL113304-04,4,0
7R01AI097273-05,5,0
5R01GM104009-03,3,3
5R01EY018571-08,8,22
5R01CA178875-02,2,1
5R01MH095905-04,4,1
5R01DK045586-23,23,0
3R01AA021744-03S1,3,0
5R01NS049430-10,10,8
1R01CA187160-01A1,1,0
7R01HL123689-02,2,0
5R01CA169122-03,3,8
1R01AI114511-01,1,0
2R01EY020902-05A1,5,0
